hypothesis,horizon,n_events,n_nonoverlap,brut_excess_bps,t_stat,p_value,net_Midas+DUSUK_bps,net_AtaYatirim+YUKSEK_bps,q_value
extreme_up_reversal,5,989,208,-170.47632093850842,-3.7150105716072854,0.00026138352941643123,-256.0831216026289,-413.6899222667495,0.001045534117665725
extreme_down_reversal,5,989,208,-18.65705357665447,-0.43691550735701856,0.6626280528711128,-105.42934012117925,-264.20162666570405,0.6626280528711128
extreme_up_reversal,10,984,136,-362.9149549342235,-4.649116911615062,7.842774524595652e-06,-447.50449857951963,-604.0940422248158,9.411329429514783e-05
extreme_down_reversal,10,984,136,-91.38947435936002,-1.3787040728648887,0.17026626607248826,-178.8038645025393,-338.2182546457186,0.18574501753362357
extreme_up_reversal,20,974,69,-375.0440740214578,-3.16444516067171,0.0023243180162186203,-460.2344286437821,-617.4247832661066,0.005020959227031715
extreme_down_reversal,20,974,69,-206.3845581619012,-1.4419304450510735,0.15391193976276193,-293.423154985257,-452.46175180861286,0.18469432771531433
volume_spike_2x,5,963,203,-142.46283862819786,-3.782945003045963,0.00020414901824183462,-225.62703463838335,-380.79123064856884,0.001045534117665725
volume_spike_2x,10,958,133,-157.22597017457556,-2.414433659817814,0.017130577120112938,-240.07821666536228,-394.9304631561491,0.02936670363447932
volume_spike_2x,20,948,67,-223.5201278114927,-1.6913849916372146,0.09548048538390483,-307.1890958388592,-462.85806386622573,0.12730731384520644
xsect_momentum_top20_lb10,5,980,205,-98.74975903958983,-3.585985609890364,0.0004202606235833184,-183.46267842257882,-340.17559780556786,0.0012607818707499553
xsect_momentum_top20_lb10,10,975,134,-149.2279901473718,-3.080657703080804,0.0025104796135158574,-233.64447007954345,-390.06095001171514,0.005020959227031715
xsect_momentum_top20_lb10,20,965,68,-206.12684030344803,-2.3294107432199302,0.022860459052027386,-289.70186449534646,-445.27688868724505,0.03429068857804108
