lookback,horizon,split_type,sampling,excess_return_bps,t_stat,p_value,signal_count
5,5,full,overlapping,3.614432236883787,0.29614411268833407,0.7671343626710667,2970
5,5,full,non_overlapping,3.5745810687568556,0.11249551743732542,0.9104600065377157,594
5,5,older,overlapping,-5.035695159141742,-0.26820455608180455,0.7885685304506782,1458
5,5,recent,overlapping,11.251634448243278,0.6984669232638374,0.484960752547446,1458
5,10,full,overlapping,-11.58951270273264,-0.700467908090747,0.4836727959290137,2940
5,10,full,non_overlapping,-44.064026595262455,-0.7330612910282627,0.4639760316620237,294
5,10,older,overlapping,-14.052382477288258,-0.5796811890968979,0.5621910225717743,1428
5,10,recent,overlapping,-12.088576955357338,-0.5198645965271307,0.6032134088000269,1428
5,20,full,overlapping,-1.1552630691236652,-0.04966228230940169,0.9603938822105343,2880
5,20,full,non_overlapping,-191.5659266482714,-1.6863260237864643,0.09339121763709499,144
5,20,older,overlapping,23.82380385550449,0.7100493306408676,0.4777551253089499,1368
5,20,recent,overlapping,-22.80784350508866,-0.6766451720415098,0.4987115546879528,1368
10,5,full,overlapping,-7.7648956114801,-0.6636507259256487,0.5069484359519234,2940
10,5,full,non_overlapping,-0.34132660820888766,-0.013482929576469545,0.9892455098730422,588
10,5,older,overlapping,-15.525009459524506,-0.8865576831175153,0.37541471178965213,1428
10,5,recent,overlapping,-3.574596835708467,-0.2195978116896006,0.8262055843286825,1428
10,10,full,overlapping,-6.637515771633932,-0.40037820981574196,0.6888978525571805,2910
10,10,full,non_overlapping,-20.167618865373065,-0.39440966303641867,0.6934794894453119,294
10,10,older,overlapping,-8.097369366305406,-0.34447391986929593,0.7305232599705589,1398
10,10,recent,overlapping,-9.529707079309803,-0.3896699780622666,0.6968225366472124,1398
10,20,full,overlapping,22.661134943753723,0.9902499912107062,0.3221089010892443,2850
10,20,full,non_overlapping,-50.185007504591674,-0.5406833915785114,0.5892780807252924,144
10,20,older,overlapping,55.87857209091306,1.7013197057311955,0.08903562860230854,1338
10,20,recent,overlapping,2.8369095796286143,0.08294274184509082,0.9339057860502445,1338
20,5,full,overlapping,-4.970037689649865,-0.44027372837105455,0.6597599172076039,2880
20,5,full,non_overlapping,-8.785101299286753,-0.35008874240861165,0.7263545203368996,576
20,5,older,overlapping,1.5359264876651282,0.09178888137286006,0.9268739961803111,1368
20,5,recent,overlapping,-6.640210801552322,-0.40155573839748426,0.6880526735313703,1368
20,10,full,overlapping,-16.893249582164827,-1.0862161820522434,0.2774419075501067,2850
20,10,full,non_overlapping,-55.88283521954633,-1.1611281984474733,0.2462277208400571,288
20,10,older,overlapping,-5.961058701318881,-0.2657075902178428,0.7904892757509412,1338
20,10,recent,overlapping,-18.74725326705473,-0.7953524857446284,0.4265027124541886,1338
20,20,full,overlapping,-13.852437663795184,-0.6506490911643521,0.5153068693230373,2790
20,20,full,non_overlapping,-99.60648151704605,-1.170479577185579,0.2429797626765779,144
20,20,older,overlapping,25.940971406948904,0.8339913705077755,0.40438125000437153,1278
20,20,recent,overlapping,-31.49769030018146,-0.9753454275146128,0.32951021893693533,1278
