symbol,date,excess,liquidity
DENGE,2013-04-30,-0.6727921519620403,illiquid
AFYON,2015-07-27,-0.6658165504664915,mid
IHLGM,2014-03-11,-0.6635772081335392,mid
EUKYO,2012-07-27,-0.6367253564655035,illiquid
OZGYO,2018-12-10,-0.6353247262498388,mid
RODRG,2019-09-18,-0.6311772758757235,illiquid
OZGYO,2018-12-07,-0.6266333674652272,mid
DENGE,2013-04-29,-0.6197863254844582,illiquid
DENGE,2019-03-29,-0.6153189461940025,illiquid
OZGYO,2018-12-12,-0.6014804227782138,mid
OZGYO,2018-12-14,-0.6003299568837236,mid
FLAP,2018-05-03,-0.5948692532212986,mid
TGSAS,2012-11-13,-0.5935479843549005,illiquid
OZGYO,2018-12-13,-0.5902749550121398,mid
DENGE,2019-04-01,-0.5826314300838443,illiquid
IHLGM,2014-03-10,-0.5779147217810763,mid
ORGE,2013-04-09,-0.5766746521279922,mid
AFYON,2015-07-28,-0.5711253796479843,mid
AVGYO,2017-07-24,-0.5677549848804968,illiquid
BRKSN,2012-12-19,-0.5676544214913115,illiquid
METRO,2019-11-13,-0.5672797142294386,mid
ORGE,2013-04-08,-0.5665711270216274,mid
OZGYO,2018-12-11,-0.5655833961065266,mid
DOGUB,2012-04-18,-0.5639580991834027,illiquid
ORMA,2013-11-04,-0.5623773426761319,illiquid
ETILR,2016-03-29,-0.5570334160194064,illiquid
DENGE,2013-05-02,-0.5557227483794382,illiquid
BNTAS,2017-04-03,-0.5522097694669634,mid
ORMA,2013-11-01,-0.5410104609943964,illiquid
FLAP,2018-05-02,-0.5403118690062335,mid
