test,direction,horizon,shock_event_count,observation_count,mean_return_bps,t_stat,p_value,period,lookback,correlation
fx_shock_reaction,TL_WEAKENS,5,39.0,39,12.356554850151761,0.23026217935492113,0.8191231700726906,full,,
fx_shock_reaction,TL_STRENGTHENS,5,11.0,11,-116.56828405535312,-0.8615973484171212,0.4090939062773412,full,,
fx_shock_reaction,TL_WEAKENS,10,39.0,39,38.328672276794585,0.4735452827155547,0.6385335399011388,full,,
fx_shock_reaction,TL_STRENGTHENS,10,11.0,11,-176.69844669492676,-1.049836861358052,0.31850229544012026,full,,
fx_shock_reaction,TL_WEAKENS,20,39.0,38,152.5786766716015,1.3980514854144201,0.1704228719082732,full,,
fx_shock_reaction,TL_STRENGTHENS,20,11.0,11,-211.8677639081883,-0.9516287704218682,0.3637192862662739,full,,
fx_shock_reaction,TL_WEAKENS,5,22.0,22,22.463999666671604,0.3254516591887844,0.7480596861701234,older,,
fx_shock_reaction,TL_STRENGTHENS,5,3.0,3,-274.5433684590184,-1.1332003924235576,0.37468956213592275,older,,
fx_shock_reaction,TL_WEAKENS,10,22.0,22,150.8276673081611,1.3589579241004308,0.1885775440860018,older,,
fx_shock_reaction,TL_STRENGTHENS,10,3.0,3,-231.18612862625957,-1.0892034708612186,0.3898153059464394,older,,
fx_shock_reaction,TL_WEAKENS,20,22.0,22,215.57080700524975,1.4838842783941752,0.15269468993953605,older,,
fx_shock_reaction,TL_STRENGTHENS,20,3.0,3,-290.6635236964988,-0.8721613566773141,0.47508382969786167,older,,
fx_shock_reaction,TL_WEAKENS,5,24.0,24,-53.15168376092538,-0.7294102587803368,0.47311416722220667,recent,,
fx_shock_reaction,TL_WEAKENS,10,24.0,24,-23.83378824890543,-0.2162643021556574,0.8306883400523144,recent,,
fx_shock_reaction,TL_WEAKENS,20,24.0,23,111.79325116129532,0.7809480573786798,0.443155909264908,recent,,
fx_momentum_correlation,,5,,492,,,0.6311596400321948,full,5.0,0.021697008018728654
fx_momentum_correlation,,10,,487,,,0.48391768484303666,full,5.0,0.03179440995858496
fx_momentum_correlation,,20,,477,,,0.7546311307001149,full,5.0,0.014347071588894273
fx_momentum_correlation,,5,,487,,,0.535762169602223,full,10.0,0.028126901959200066
fx_momentum_correlation,,10,,482,,,0.5218939991973102,full,10.0,0.029240406737545886
fx_momentum_correlation,,20,,472,,,0.7066268290720459,full,10.0,-0.01736951217920368
fx_momentum_correlation,,5,,477,,,0.92862627648168,full,20.0,0.004112052669932732
fx_momentum_correlation,,10,,472,,,0.3703990145607545,full,20.0,-0.04132109371972939
fx_momentum_correlation,,20,,462,,,0.15682563833876953,full,20.0,-0.0659772616340518
fx_momentum_correlation,,5,,246,,,0.37477300213483294,older,5.0,0.05683299800207885
fx_momentum_correlation,,10,,246,,,0.1484574944354458,older,5.0,0.09240333563820108
fx_momentum_correlation,,20,,246,,,0.6209398248080062,older,5.0,0.031682818286262696
fx_momentum_correlation,,5,,241,,,0.18490239626551355,older,10.0,0.08569132855064311
fx_momentum_correlation,,10,,241,,,0.20769851715117077,older,10.0,0.08144708247979769
fx_momentum_correlation,,20,,241,,,0.8140779248440888,older,10.0,-0.01522682527801485
fx_momentum_correlation,,5,,231,,,0.8552161805553941,older,20.0,0.012070495377353538
fx_momentum_correlation,,10,,231,,,0.37982674228770175,older,20.0,-0.05804850120912368
fx_momentum_correlation,,20,,231,,,0.24532682222848054,older,20.0,-0.07674272267861178
fx_momentum_correlation,,5,,246,,,0.3499026534648281,recent,5.0,-0.05985066289290529
fx_momentum_correlation,,10,,241,,,0.08570259560822692,recent,5.0,-0.11093416294704903
fx_momentum_correlation,,20,,231,,,0.2193935812803288,recent,5.0,0.08111262956946923
fx_momentum_correlation,,5,,246,,,0.06518073064548727,recent,10.0,-0.11776057777237312
fx_momentum_correlation,,10,,241,,,0.5201806439609968,recent,10.0,-0.041622028515346014
fx_momentum_correlation,,20,,231,,,0.08376907395097508,recent,10.0,0.11402176509698242
fx_momentum_correlation,,5,,246,,,0.3783028504242679,recent,20.0,0.05641485468496959
fx_momentum_correlation,,10,,241,,,0.18327675086940873,recent,20.0,0.08600831757470201
fx_momentum_correlation,,20,,231,,,0.3184929259767598,recent,20.0,0.06592079243833764
